Name,Watched Date,Year,Rewatch
Moana,03/28/2021 00:00:00,2016,
Bringing Up Baby,03/29/2021 00:00:00,1938,
Gaslight,03/30/2021 00:00:00,1944,
The Beach Bum,03/31/2021 00:00:00,2019,Yes
The Lego Batman Movie,04/01/2021 00:00:00,2017,
Cherry,04/02/2021 00:00:00,2021,
The SpongeBob Movie: Sponge on the Run,04/03/2021 00:00:00,2020,
Candyman,04/05/2021 00:00:00,1992,Yes
Godzilla vs. Kong,04/06/2021 00:00:00,2021,
Daisies,04/07/2021 00:00:00,1966,
Shiva Baby,04/08/2021 00:00:00,2020,
Punch-Drunk Love,04/09/2021 00:00:00,2002,Yes
Re-Animator,04/10/2021 00:00:00,1985,
Ginger Snaps,04/11/2021 00:00:00,2000,
Electric Dreams,04/12/2021 00:00:00,1984,
The Dead Don't Die,04/13/2021 00:00:00,2019,
It,04/15/2021 00:00:00,2017,Yes
Naked,04/16/2021 00:00:00,1993,
Nobody,04/17/2021 00:00:00,2021,
Porky's,04/18/2021 00:00:00,1981,
The Florida Project,04/20/2021 00:00:00,2017,
Riders of Justice,04/21/2021 00:00:00,2020,
Jennifer's Body,04/22/2021 00:00:00,2009,
Magic Mike XXL,04/23/2021 00:00:00,2015,
Big Fish,04/24/2021 00:00:00,2003,
Pontypool,04/25/2021 00:00:00,2008,
Dawn of the Dead,04/26/2021 00:00:00,2004,Yes
"Yes, God, Yes",04/28/2021 00:00:00,2019,
Uncut Gems,04/29/2021 00:00:00,2019,
The Master,04/30/2021 00:00:00,2012,
Concrete Cowboy,05/01/2021 00:00:00,2020,
I Walked with a Zombie,05/02/2021 00:00:00,1943,
I Know Where I'm Going!,05/03/2021 00:00:00,1945,
THX 1138,05/04/2021 00:00:00,1971,
No Country for Old Men,05/05/2021 00:00:00,2007,Yes
Invasion of the Body Snatchers,05/06/2021 00:00:00,1956,
The Far Country,05/07/2021 00:00:00,1954,
The Mitchells vs. The Machines,05/08/2021 00:00:00,2021,
My Night at Maud's,05/10/2021 00:00:00,1969,
The Apartment,05/11/2021 00:00:00,1960,
The Mitchells vs. The Machines,05/17/2021 00:00:00,2021,Yes
Days of Heaven,05/18/2021 00:00:00,1978,
Fritz the Cat,05/19/2021 00:00:00,1972,
Those Who Wish Me Dead,05/20/2021 00:00:00,2021,
Army of the Dead,05/23/2021 00:00:00,2021,
Angst,05/24/2021 00:00:00,1983,
American Honey,05/25/2021 00:00:00,2016,Yes
Fear and Loathing in Las Vegas,05/26/2021 00:00:00,1998,
American Psycho,05/28/2021 00:00:00,2000,
"Sherlock, Jr.",05/29/2021 00:00:00,1924,
Jimmy Neutron: Boy Genius,05/30/2021 00:00:00,2001,
Bo Burnham: Inside,05/31/2021 00:00:00,2021,
Bo Burnham: Inside,06/01/2021 00:00:00,2021,Yes
Dear Zachary: A Letter to a Son About His Father,06/02/2021 00:00:00,2008,
(500) Days of Summer,06/03/2021 00:00:00,2009,
After Hours,06/04/2021 00:00:00,1985,
It's Such a Beautiful Day,06/05/2021 00:00:00,2012,
About Time,06/07/2021 00:00:00,2013,
Hot Rod,06/08/2021 00:00:00,2007,
City of Gold,06/10/2021 00:00:00,2015,
Heathers,06/11/2021 00:00:00,1989,Yes
In the Heights,06/12/2021 00:00:00,2021,
Election,06/13/2021 00:00:00,1999,
Electra Glide in Blue,06/17/2021 00:00:00,1973,
Nightcrawler,06/18/2021 00:00:00,2014,
Luca,06/20/2021 00:00:00,2021,
Repo Man,06/21/2021 00:00:00,1984,
Akira,06/22/2021 00:00:00,1988,
Streets of Fire,06/23/2021 00:00:00,1984,
The Spectacular Now,06/24/2021 00:00:00,2013,
Poison,06/25/2021 00:00:00,1991,
The Conjuring,06/26/2021 00:00:00,2013,
Ravenous,06/27/2021 00:00:00,2017,
Splendor,06/28/2021 00:00:00,1999,
Killing Them Softly,06/29/2021 00:00:00,2012,
The Conjuring 2,07/02/2021 00:00:00,2016,
Zombieland,07/04/2021 00:00:00,2009,
Cat People,07/05/2021 00:00:00,1942,
Flipped,07/06/2021 00:00:00,2010,
Not Another Teen Movie,07/07/2021 00:00:00,2001,
The Clovehitch Killer,07/08/2021 00:00:00,2018,
My Darling Clementine,07/09/2021 00:00:00,1946,
