Title,Genres,SpokenLanguages,Runtime,WatchedDate,Rewatch,ReleaseYear
Scooby-Doo! and the Witch's Ghost,"Animation,Comedy,Mystery,Family,Fantasy",English,70,06/17/2020 00:00:00,,1999
Out of the Past,"Crime,Drama,Romance,Thriller",English,97,06/18/2020 00:00:00,,1947
Spaceballs,"Comedy,Science Fiction",English,96,06/19/2020 00:00:00,,1987
The Red Shoes,"Drama,Romance","Russian,English,French",133,06/20/2020 00:00:00,,1948
Friday the 13th,Horror,English,95,06/21/2020 00:00:00,,1980
Singin' in the Rain,"Comedy,Music,Romance,Drama",English,103,06/22/2020 00:00:00,,1952
Seven Samurai,"Action,Drama",Japanese,207,06/23/2020 00:00:00,,1954
Blow-Up,"Drama,Mystery,Thriller",English,111,06/24/2020 00:00:00,,1966
Evil Dead II,"Horror,Comedy,Fantasy",English,84,06/24/2020 00:00:00,,1987
Jaws,"Horror,Thriller,Adventure",English,124,06/25/2020 00:00:00,Yes,1975
Breathless,"Drama,Crime","French,English",90,06/28/2020 00:00:00,,1960
Raw,"Drama,Horror,Comedy",French,99,06/30/2020 00:00:00,Yes,2016
Hardcore,"Crime,Drama","Spanish,English",108,06/30/2020 00:00:00,,1979
A Woman Under the Influence,Drama,"English,Italian",155,07/01/2020 00:00:00,,1974
Cinema Paradiso,"Drama,Romance",Italian,124,07/02/2020 00:00:00,,1988
A Nightmare on Elm Street,Horror,English,91,07/04/2020 00:00:00,,1984
All About My Mother,"Comedy,Drama","Catalan,Spanish",101,07/05/2020 00:00:00,,1999
Dazed and Confused,"Comedy,Drama",English,102,07/06/2020 00:00:00,,1993
Punch-Drunk Love,"Comedy,Drama,Romance",English,96,07/07/2020 00:00:00,,2002
Survival of the Dead,"Comedy,Horror,Thriller",English,90,07/08/2020 00:00:00,,2009
The Grand Budapest Hotel,"Comedy,Drama","English,French",100,07/09/2020 00:00:00,,2014
